company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
/organization/139shop,139shop,|E-Commerce|,E-Commerce,CHN,,,,/funding-round/ab94379ae87be8a333b45496f0dcb8e2,venture,a,2007-02-01T00:00:00,2007-02, 2007-Q1 ,2007.0,
/organization/13th-lab,13th Lab,|iPad|Games|Augmented Reality|Computer Vision|Mobile|,Mobile,SWE,,Stockholm,Stockholm,/funding-round/34beaeea2a19cc3291f849905ded0927,seed,,2012-06-15T00:00:00,2012-06, 2012-Q2 ,2012.0,"700,000"
/organization/140-proof,140 Proof,|Interest Graph|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,/funding-round/2dc9ff9c590200195228ce2e153a1423,venture,a,2009-07-01T00:00:00,2009-07, 2009-Q3 ,2009.0,"3,000,000"
/organization/140-proof,140 Proof,|Interest Graph|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,/funding-round/3d40399001b0a2088620030afc533c83,venture,b,2011-04-28T00:00:00,2011-04, 2011-Q2 ,2011.0,"2,500,000"
/organization/140fire,140Fire,|Entertainment|Sports|Real Time|Social Media|Video|Advertising|,Entertainment,USA,CA,Los Angeles,Santa Monica,/funding-round/3b07772aa3a6bfa26d5135fa746f94e2,seed,,2010-05-05T00:00:00,2010-05, 2010-Q2 ,2010.0,"500,000"
/organization/phoneuser-network,159.com,|Software|,Software,CHN,,,,/funding-round/9568a1c5d463fe37dcbbe890bfdb219e,venture,a,2008-02-01T00:00:00,2008-02, 2008-Q1 ,2008.0,"4,500,000"
/organization/phoneuser-network,159.com,|Software|,Software,CHN,,,,/funding-round/18894bfe0c40ea28901a89a266c49326,venture,b,2011-03-01T00:00:00,2011-03, 2011-Q1 ,2011.0,"1,704,822"
/organization/15five,15Five,|Software|,Software,USA,CA,SF Bay Area,San Francisco,/funding-round/e7ce4181f0de392140ff584986340a54,seed,,2012-01-01T00:00:00,2012-01, 2012-Q1 ,2012.0,"200,000"
/organization/15five,15Five,|Software|,Software,USA,CA,SF Bay Area,San Francisco,/funding-round/6c390df9112bb5ee560d419450536bd7,undisclosed,,2013-01-15T00:00:00,2013-01, 2013-Q1 ,2013.0,"1,000,000"
/organization/15minutesnow,15MinutesNOW,|Games|,Games,,,,,/funding-round/9352dd0999084c880e8f62cbe3a2095e,seed,,2011-05-10T00:00:00,2011-05, 2011-Q2 ,2011.0,"200,000"
