company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/organization/1st-choice-security-solutions,1st Choice Security Solutions,|Security|,Security,USA,GA,Atlanta,Atlanta,/organization/comcam,ComCam,,,USA,PA,Cincinnati,West Chester,2011-04-13T00:00:00,2011-04,2011-Q2,2011.0,,USD
/organization/1st-united-bancorp,1st United Bancorp,|Banking|,Banking,,,,,/organization/valley-national-bancorp,Valley National Bancorp,|Banking|,Banking,USA,NV,Las Vegas,Las Vegas,2014-05-08T00:00:00,2014-05,2014-Q2,2014.0,"300,000,000",USD
/organization/1up,1Up,|Software|,Software,,,,,/organization/ugo-entertainment,UGO Entertainment,|Entertainment|Video Games|Games|Curated Web|,Curated Web,USA,NY,New York City,New York,2009-01-06T00:00:00,2009-01,2009-Q1,2009.0,,USD
/organization/1vault-networks,1Vault Networks,|Software|,Software,,,,,/organization/peak-10,Peak 10,|Business Services|Homeland Security|SaaS|Virtualization|Data Centers|Infrastructure|Services|Web Hosting|,Web Hosting,USA,NC,Charlotte,Charlotte,2009-12-22T00:00:00,2009-12,2009-Q4,2009.0,,USD
/organization/2020-social,2020 Social,|Local Businesses|Communities|Consulting|,Communities,IND,,New Delhi,New Delhi,/organization/publicis-groupe,Publicis Groupe,|Public Relations|,Public Relations,FRA,,Paris,Paris,2010-10-01T00:00:00,2010-10,2010-Q4,2010.0,,USD
/organization/20-20-media,20:20 Media,,,IND,,New Delhi,Noida,/organization/publicis-groupe,Publicis Groupe,|Public Relations|,Public Relations,FRA,,Paris,Paris,2010-10-01T00:00:00,2010-10,2010-Q4,2010.0,,USD
/organization/21st-century-infra-tele,21st Century Infra Tele,|Public Relations|,Public Relations,USA,IN,Indiana,,/organization/wireless-tt-info-services,Wireless TT Info Services,|Public Relations|,Public Relations,IND,,Hyderabad,Hyderabad,2010-04-06T00:00:00,2010-04,2010-Q2,2010.0,,USD
/organization/21st-century-insurance,21st Century Insurance,|Finance|Business Services|Insurance|None|,Business Services,USA,AL,"Wilmington, DE",De Armanville,/organization/american-international-group,American International Group,|Insurance|Venture Capital|Finance|,Insurance,USA,NY,New York City,New York,2007-09-01T00:00:00,2007-09,2007-Q3,2007.0,"749,000,000",USD
/organization/22touch,22Touch,,,,,,,/organization/refer-com,Refer.com,,,USA,ID,Boise,Meridian,2013-11-01T00:00:00,2013-11,2013-Q4,2013.0,,USD
/organization/236-com,236.com,|Curated Web|,Curated Web,,,,,/organization/huffingtonpost,The Huffington Post,|News|,News,USA,NY,New York City,New York,2009-01-14T00:00:00,2009-01,2009-Q1,2009.0,,USD
/organization/24-solutions-ab,24 Solutions AB,,,,,,,/organization/24mas,24MAS,|iPad|iPhone|Mobile Games|Android|App Marketing|Advertising|Mobile|,iPad,SWE,,Stockholms Lan,Nacka,2009-12-23T00:00:00,2009-12,2009-Q4,2009.0,,USD
/organization/24-7-real-media,24/7 Real Media,|Media|Advertising|,Media,USA,NY,New York City,New York,/organization/wpp,WPP,|Public Relations|,Public Relations,GBR,,London,London,2008-05-17T00:00:00,2008-05,2008-Q2,2008.0,"649,000,000",USD
/organization/24-7-solutions,24/7 Solutions,|Software|,Software,,,,,/organization/sentel,Sentel,|None|,None,,,,,2009-04-16T00:00:00,2009-04,2009-Q2,2009.0,,USD
/organization/263-com,263.com,,,,,,,/organization/beijing-feixiangren-information-technology,Beijing Feixiangren Information Technology,|Curated Web|,Curated Web,CHN,,Beijing,Beijing,2010-01-08T00:00:00,2010-01,2010-Q1,2010.0,,USD
/organization/280-north,280 North,|Presentations|Software|,Software,,,,,/organization/motorola-solutions,Motorola Solutions,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Schaumburg,2010-07-01T00:00:00,2010-07,2010-Q3,2010.0,"20,000,000",USD
/organization/280-north,280 North,|Presentations|Software|,Software,,,,,/organization/motorola-mobility,Motorola Mobility,|Mobile|,Mobile,JPN,,Kochi,Usa,2010-07-01T00:00:00,2010-07,2010-Q3,2010.0,"20,000,000",USD
/organization/29west,29West,,,,,,,/organization/informatica,Informatica,|Big Data Analytics|Mobile Devices|Cloud Computing|Data Integration|Software|,Mobile Devices,USA,CA,SF Bay Area,Redwood City,2010-03-22T00:00:00,2010-03,2010-Q1,2010.0,,USD
/organization/2dehands-be,2dehands.be,|E-Commerce|,E-Commerce,BEL,,Brussels,Bel,/organization/ebay,eBay,|Business Services|All Markets|Search|Auctions|E-Commerce|,Business Services,USA,CA,SF Bay Area,San Jose,2013-07-04T00:00:00,2013-07,2013-Q3,2013.0,,USD
/organization/2ememain-be,2ememain.be,|E-Commerce|,E-Commerce,BEL,,Brussels,Bel,/organization/ebay,eBay,|Business Services|All Markets|Search|Auctions|E-Commerce|,Business Services,USA,CA,SF Bay Area,San Jose,2013-07-04T00:00:00,2013-07,2013-Q3,2013.0,,USD
/organization/2ergo,2ergo,|Mobile Payments|Mobile Security|SMS|Wireless|Mobile Coupons|iPhone|Messaging|Media|Sales and Marketing|Mobile|,Mobile,AUS,,Sydney,Surry Hills,/organization/soundbite-communication,SoundBite Communications,|Customer Service|Chat|Audio|Messaging|Email|Mobile|SMS|App Marketing|Public Relations|,Customer Service,USA,VA,Boston,Bedford,2012-02-01T00:00:00,2012-02,2012-Q1,2012.0,,USD
/organization/2nd-story-software-inc,"2nd Story Software, Inc.",|Software|,Software,USA,IA,Cedar Rapids,Cedar Rapids,/organization/blucora,Blucora,|Internet|,Internet,USA,WA,Omaha,Bellevue,2012-01-09T00:00:00,2012-01,2012-Q1,2012.0,"287,500,000",USD
/organization/2web-technologies,2Web Technologies,|Software|,Software,,,,,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Software,USA,CA,SF Bay Area,Mountain View,2006-06-01T00:00:00,2006-06,2006-Q2,2006.0,,USD
/organization/2wire,2Wire,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Jose,/organization/pace,Pace,|Hardware + Software|,Hardware + Software,DEU,,Nordrhein-Westfalen,England,2010-07-26T00:00:00,2010-07,2010-Q3,2010.0,"475,000,000",USD
/organization/3-blokes-studios,3 Blokes Studios,|Games|,Games,,,,,/organization/rockyou,RockYou,|Mobile|Online Gaming|Online Video Advertising|Facebook Applications|Messaging|Photography|Web Tools|Games|,Mobile,USA,CA,SF Bay Area,San Francisco,2011-06-01T00:00:00,2011-06,2011-Q2,2011.0,,USD
/organization/3-day-blinds,3 day Blinds,|None|,None,USA,CA,Anaheim,Irvine,/organization/rosewood-capital,Rosewood Capital,,,,,,,2006-06-20T00:00:00,2006-06,2006-Q2,2006.0,,USD
/organization/3001,3001,,,USA,VA,SF Bay Area,Fairfax,/organization/northrop-grumman,Northrop Grumman,|Software|Technology|Data Integration|Security|,Data Integration,USA,CA,Los Angeles,Los Angeles,2008-09-10T00:00:00,2008-09,2008-Q3,2008.0,,USD
/organization/360-scheduling,360 Scheduling,|Software|,Software,GBR,,Nottingham,Nottingham,/organization/ifs,IFS,|Software|,Software,,,,,2010-09-30T00:00:00,2010-09,2010-Q3,2010.0,,USD
/organization/360-vantage,360 Vantage,|Mobile|,Mobile,USA,AZ,Phoenix,Chandler,/organization/ims-health,IMS Health,|Technology|Curated Web|,Technology,USA,CT,Hartford,Danbury,2013-05-20T00:00:00,2013-05,2013-Q2,2013.0,,USD
/organization/360commerce,360Commerce,,,USA,TX,Austin,Austin,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,2006-01-18T00:00:00,2006-01,2006-Q1,2006.0,,USD
/organization/360naija-forum,360Naija Forum,,,,,,,/organization/iroyin,Iroyin,|Consulting|,Consulting,NGA,,Lagos,Lagos,2011-09-25T00:00:00,2011-09,2011-Q3,2011.0,"10,000",USD
/organization/360networks,360networks,|VoIP|Public Relations|,VoIP,USA,WA,Seattle,Seattle,/organization/zayo-group,Zayo,|Internet|Data Centers|Mobile|,Internet,,,,,2011-10-01T00:00:00,2011-10,2011-Q4,2011.0,,USD
/organization/3721-internet-assistant,3721 Internet Assistant,,,,,,,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Photography,USA,CA,SF Bay Area,Sunnyvale,2004-01-01T00:00:00,2004-01,2004-Q1,2004.0,,USD
/organization/3com,3Com,|Curated Web|,Curated Web,USA,MA,Boston,Marlborough,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Curated Web,USA,CA,SF Bay Area,Palo Alto,2009-11-11T00:00:00,2009-11,2009-Q4,2009.0,"2,700,000,000",USD
/organization/3d-geo,3D Geo,|Software|,Software,DEU,,Berlin,Potsdam,/organization/autodesk,Autodesk,|Software|,Software,USA,CA,SF Bay Area,San Rafael,2008-09-09T00:00:00,2008-09,2008-Q3,2008.0,,USD
/organization/3d-markets,3D Markets,|Software|,Software,,,,,/organization/pipeline-financial-group,Pipeline Financial Group,|Enterprise Software|,Enterprise Software,USA,NY,New York City,New York,2009-04-22T00:00:00,2009-04,2009-Q2,2009.0,,USD
/organization/3d-plus,3D Plus,|Semiconductors|,Semiconductors,FRA,,Ile-de-France,Buc,/organization/heico,Heico,|Manufacturing|,Manufacturing,USA,FL,Ft. Lauderdale,Hollywood,2011-06-21T00:00:00,2011-06,2011-Q2,2011.0,,USD
/organization/3d3r,3D3R Software Studio,|Software|,Software,USA,CA,SF Bay Area,Santa Clara,/organization/chegg,Chegg,|Consumers|Online Rental|Textbooks|Education|,Consumers,USA,CA,SF Bay Area,Santa Clara,2011-11-14T00:00:00,2011-11,2011-Q4,2011.0,,USD
/organization/3db-research,3dB Research,,,CAN,BC,Vancouver,Victoria,/organization/harman-international-industries,Harman International Industries,|None|,None,USA,CT,Hartford,Stamford,2011-02-18T00:00:00,2011-02,2011-Q1,2011.0,,USD
/organization/3di-technologies,3Di Technologies Inc,|Software|,Software,USA,MD,Baltimore,Hanover,/organization/l-3-communications,L-3 Communications,|Mobile|,Mobile,USA,NY,New York City,New York,2010-09-21T00:00:00,2010-09,2010-Q3,2010.0,,USD
/organization/3done-software,3DOne Software,,,,,,,/organization/actify,Actify,,,USA,CA,SF Bay Area,San Francisco,2011-07-06T00:00:00,2011-07,2011-Q3,2011.0,,USD
/organization/3dtin,3DTin,,,,,,,/organization/lagoa,Lagoa,|Games|3D|Enterprise Software|,Games,CAN,QC,Montreal,Montrí©al,2013-09-22T00:00:00,2013-09,2013-Q3,2013.0,,USD
