permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
/organization/140fire,140Fire,http://140fire.com,|Entertainment|Sports|Real Time|Social Media|Video|Advertising|, Entertainment ,"500,000",operating,USA,CA,Los Angeles,Santa Monica,1.0,2010-01-01T00:00:00,2010-01,2010-Q1,2010.0,2010-05-05T00:00:00,2010-05-05T00:00:00
/organization/phoneuser-network,159.com,http://www.159.com,|Software|, Software ,"6,204,822",operating,CHN,,,,2.0,,,,,2008-02-01T00:00:00,2011-03-01T00:00:00
/organization/15five,15Five,http://15five.com,|Software|, Software ,"1,200,000",operating,USA,CA,SF Bay Area,San Francisco,2.0,2011-05-01T00:00:00,2011-05,2011-Q2,2011.0,2012-01-01T00:00:00,2013-01-15T00:00:00
/organization/15minutesnow,15MinutesNOW,http://15minutesnow.com,|Games|, Games ,"200,000",operating,,,,,1.0,2011-04-19T00:00:00,2011-04,2011-Q2,2011.0,2011-05-10T00:00:00,2011-05-10T00:00:00
/organization/16-mile-solutions,16 Mile Solutions,,|Software|, Software ,"199,957",operating,USA,WA,Seattle,Seattle,1.0,2006-01-01T00:00:00,2006-01,2006-Q1,2006.0,2009-06-11T00:00:00,2009-06-11T00:00:00
/organization/169-st,169 ST.,http://www.junebugreview.com,|Entertainment|Games|, Games ,"50,000",closed,USA,FL,Orlando,Lake Mary,1.0,2009-05-15T00:00:00,2009-05,2009-Q2,2009.0,2009-06-01T00:00:00,2009-06-01T00:00:00
/organization/170-systems,170 Systems,http://www.170systems.com,|Software|, Software ,"14,000,000",acquired,USA,MA,Boston,Bedford,1.0,1990-01-01T00:00:00,1990-01,1990-Q1,1990.0,2002-04-16T00:00:00,2002-04-16T00:00:00
/organization/17u-cn,17u.cn,http://www.17u.cn,|Travel|, Travel ,"84,440,319",operating,CHN,,Shanghai,Suzhou,3.0,2004-01-01T00:00:00,2004-01,2004-Q1,2004.0,2008-01-01T00:00:00,2014-02-01T00:00:00
/organization/1871,1871,http://www.1871.com,,,"2,500,000",operating,USA,IL,Chicago,Chicago,1.0,,,,,2014-06-17T00:00:00,2014-06-17T00:00:00
/organization/19pay,19pay,http://www.19pay.com.cn,|Finance|, Finance ,"9,478,511",operating,CHN,,Beijing,Beijing,3.0,2005-01-01T00:00:00,2005-01,2005-Q1,2005.0,2006-01-01T00:00:00,2013-07-01T00:00:00
